통계표ID,통계표명,지역,cleaning1,cleaning2,연령대,cleaning3,cleaning4,구분,대상
DT_1SA107,경영주연령(5세계급)별/교육정도별 농가수,,경영주연령(5세계급)별/교육정도별 농가수,경영주연령(5세계급)별/교육정도별 농가수,,경영주연령(5세계급)별/교육정도별 농가수,경영주연령(5세계급)별/교육정도별 농가수,"경영주 연령별, 교육 정도별",농가수
DT_1SA108,경영주농사경력기간별 농가수,,경영주농사경력기간별 농가수,경영주농사경력기간별 농가수,,경영주농사경력기간별 농가수,경영주농사경력기간별 농가수,경영주농사경력기간별,농가수
DT_1SA117,농축산물판매금액별 농가,,농축산물판매금액별 농가,농축산물판매금액별 농가,,농축산물판매금액별 농가,농축산물판매금액별 농가,농축산물판매금액별,농가
DT_1SA118,농축산물판매처별 농가수,,농축산물판매처별 농가수,농축산물판매처별 농가수,,농축산물판매처별 농가수,농축산물판매처별 농가수,판매처별,농가수
DT_1SA120,주요과수재배시설별 농가수,,주요과수재배시설별 농가수,주요과수재배시설별 농가수,,주요과수재배시설별 농가수,주요과수재배시설별 농가수,주요과수재배시설별,농가수
DT_1SA201,"연령(각세)별/성별 농가인구, 성비",,"연령(각세)별/성별 농가인구, 성비","연령(각세)별/성별 농가인구, 성비",,"연령(각세)별/성별 농가인구, 성비","연령(각세)별/성별 농가인구, 성비","연령별, 성별",농가인구
DT_1SA202,연령(5세계급)별/성별 농가인구,,연령(5세계급)별/성별 농가인구,연령(5세계급)별/성별 농가인구,,연령(5세계급)별/성별 농가인구,연령(5세계급)별/성별 농가인구,"연령별, 성별",농가인구
DT_1SA401,논벼수확면적규모별 농가수,,논벼수확면적규모별 농가수,논벼수확면적규모별 농가수,,논벼수확면적규모별 농가수,논벼수확면적규모별 농가수,규모별,논벼수확면적 규모별 농가수
DT_1SA401_01,수확면적,,수확면적,수확면적,,수확면적,수확면적,"품목별, 행정구역별",수확면적
DT_1SA402,"수확규모별/식량작물(논벼제외)별 농가수, 면적",,"수확규모별/식량작물(논벼제외)별 농가수, 면적","수확규모별/식량작물(논벼제외)별 농가수, 면적",,"수확규모별/식량작물(논벼제외)별 농가수, 면적","수확규모별/식량작물(논벼제외)별 농가수, 면적","수확규모별, 식량작물(논벼제외)별","농가수, 면적"
DT_1SA403,"수확규모별/작물별(채소, 특용작물, 화초작물, 기타 작물) 농가수, 면적",,"수확규모별/작물별(채소, 특용작물, 화초작물, 기타 작물) 농가수, 면적","수확규모별/작물별(채소, 특용작물, 화초작물, 기타 작물) 농가수, 면적",,"수확규모별/작물별(채소, 특용작물, 화초작물, 기타 작물) 농가수, 면적","수확규모별/작물별(채소, 특용작물, 화초작물, 기타 작물) 농가수, 면적","수확규모별, 작물별","농가수, 면적"
DT_1SA408,"시설작물별 농가수, 면적",,"시설작물별 농가수, 면적","시설작물별 농가수, 면적",,"시설작물별 농가수, 면적","시설작물별 농가수, 면적",시설작물별,"농가수, 면적"
DT_1SA4086,시설수박수확면적규모별 농가수,,시설수박수확면적규모별 농가수,시설수박수확면적규모별 농가수,,시설수박수확면적규모별 농가수,시설수박수확면적규모별 농가수,시설수박수확면적규모별,농가수
DT_1SA4086_01,시설수박 수확면적,,시설수박 수확면적,시설수박 수확면적,,시설수박 수확면적,시설수박 수확면적,행정구역별,"시설수박, 수확면적"
DT_1SA4088,시설딸기수확면적 규모별 농가수,,시설딸기수확면적 규모별 농가수,시설딸기수확면적 규모별 농가수,,시설딸기수확면적 규모별 농가수,시설딸기수확면적 규모별 농가수,규모별,농가수
DT_1SA4088_01,시설딸기 수확면적,,시설딸기 수확면적,시설딸기 수확면적,,시설딸기 수확면적,시설딸기 수확면적,행정구역별,"시설딸기, 수확면적"
DT_1SA409,과수재배규모별 농가수,,과수재배규모별 농가수,과수재배규모별 농가수,,과수재배규모별 농가수,과수재배규모별 농가수,과수재배 규모별,농가수
DT_1SA4093,경지규모별/복숭아재배면적및수확면적규모별 농가수,,경지규모별/복숭아재배면적및수확면적규모별 농가수,경지규모별/복숭아재배면적및수확면적규모별 농가수,,경지규모별/복숭아재배면적및수확면적규모별 농가수,경지규모별/복숭아재배면적및수확면적규모별 농가수,"경지규모별, 복숭아재배면적및수확면적규모별",경지규모별 복숭아재배면적및수확면적 규모별 농가수
DT_1SA4093_01,"복숭아 재배면적, 수확면적",,"복숭아 재배면적, 수확면적","복숭아 재배면적, 수확면적",,"복숭아 재배면적, 수확면적","복숭아 재배면적, 수확면적",품목별,"재배면적, 수확면적"
DT_1SA409_01,과수종류별 면적,,과수종류별 면적,과수종류별 면적,,과수종류별 면적,과수종류별 면적,과수종류별,면적
DT_1SA4103,과수재배규모별/복숭아 주된 재배품종별 농가수,,과수재배규모별/복숭아 주된 재배품종별 농가수,과수재배규모별/복숭아 주된 재배품종별 농가수,,과수재배규모별/복숭아 주된 재배품종별 농가수,과수재배규모별/복숭아 주된 재배품종별 농가수,"과수재배 규모별, 복숭아 주된 재배품종별",농가수
DT_1SA501,가축종류별 사육 농가수,,가축종류별 사육 농가수,가축종류별 사육 농가수,,가축종류별 사육 농가수,가축종류별 사육 농가수,가축종류별,사육 농가수
DT_1SA501_01,가축종류별 사육 마리(통)수,,가축종류별 사육 마리(통)수,가축종류별 사육 마리(통)수,,가축종류별 사육 마리수,가축종류별 사육 마리수,가축종류별,"가축, 마리수"
DT_1SC1001,"가구형태별 가구, 가구원수",,"가구형태별 가구, 가구원수","가구형태별 가구, 가구원수",,"가구형태별 가구, 가구원수","가구형태별 가구, 가구원수","가구형태별, 가구원수별","가구, 가구원수"
DT_1SC1002,가구원수별/방·거실·식사용방수별 일반가구수,,가구원수별/방·거실·식사용방수별 일반가구수,가구원수별/방·거실·식사용방수별 일반가구수,,가구원수별/방·거실·식사용방수별 일반가구수,가구원수별/방·거실·식사용방수별 일반가구수,"가구원수별, 방·거실·식사용방수별",일반가구수
DT_1SC1003,가구원수별/거처종류별/사용방수별 일반가구수,,가구원수별/거처종류별/사용방수별 일반가구수,가구원수별/거처종류별/사용방수별 일반가구수,,가구원수별/거처종류별/사용방수별 일반가구수,가구원수별/거처종류별/사용방수별 일반가구수,"가구원수별, 거처종류별, 사용방수별",일반가구수
DT_1SC1003_01,가구원수별/거처종류별 평균 사용방수,,가구원수별/거처종류별 평균 사용방수,가구원수별/거처종류별 평균 사용방수,,가구원수별/거처종류별 평균 사용방수,가구원수별/거처종류별 평균 사용방수,"가구원수별, 거처종류별","가구원수, 거처종류, 평균 사용방수"
DT_1SC1004,거처종류별/주거시설형태별 일반가구수,,거처종류별/주거시설형태별 일반가구수,거처종류별/주거시설형태별 일반가구수,,거처종류별/주거시설형태별 일반가구수,거처종류별/주거시설형태별 일반가구수,"거처종류별, 주거시설형태별",일반가구수
DT_1SC1005,가구주연령별/가구원수별 일반가구수,,가구주연령별/가구원수별 일반가구수,가구주연령별/가구원수별 일반가구수,,가구주연령별/가구원수별 일반가구수,가구주연령별/가구원수별 일반가구수,"가구주 연령별, 가구원 수별",일반가구수
DT_1SC1005_01,가구주연령별 평균 가구원수,,가구주연령별 평균 가구원수,가구주연령별 평균 가구원수,,가구주연령별 평균 가구원수,가구주연령별 평균 가구원수,가구주 연령별,평균 가구원수
DT_1SC1006,가구주의 성별/연령별/혼인상태별 일반가구수,,가구주의 성별/연령별/혼인상태별 일반가구수,가구주의 성별/연령별/혼인상태별 일반가구수,,가구주의 성별/연령별/혼인상태별 일반가구수,가구주의 성별/연령별/혼인상태별 일반가구수,"성별, 연령별, 혼인상태별",일반가구수
DT_1SC1007,가구주의 성별/연령별/거처종류별 일반가구수,,가구주의 성별/연령별/거처종류별 일반가구수,가구주의 성별/연령별/거처종류별 일반가구수,,가구주의 성별/연령별/거처종류별 일반가구수,가구주의 성별/연령별/거처종류별 일반가구수,"성별, 연령별, 거처종류별",일반가구수
DT_1SC1008,"세대구성별 일반가구수, 일반가구원수",,"세대구성별 일반가구수, 일반가구원수","세대구성별 일반가구수, 일반가구원수",,"세대구성별 일반가구수, 일반가구원수","세대구성별 일반가구수, 일반가구원수",세대구성별,"일반가구수, 일반가구원수"
DT_1SC1009,세대구성별/가구원수별 일반가구수,,세대구성별/가구원수별 일반가구수,세대구성별/가구원수별 일반가구수,,세대구성별/가구원수별 일반가구수,세대구성별/가구원수별 일반가구수,"세대구성별, 가구원수별",일반가구수
DT_1SC1009_01,세대구성별 평균 가구원수,,세대구성별 평균 가구원수,세대구성별 평균 가구원수,,세대구성별 평균 가구원수,세대구성별 평균 가구원수,세대구성별,가구원수
DT_1SC1010,가구주의 성별/연령별/세대구성별 일반가구수,,가구주의 성별/연령별/세대구성별 일반가구수,가구주의 성별/연령별/세대구성별 일반가구수,,가구주의 성별/연령별/세대구성별 일반가구수,가구주의 성별/연령별/세대구성별 일반가구수,"성별, 연령별, 세대구성별",일반가구수
DT_1SF101,산림보유 면적 규모별 임가수,,산림보유 면적 규모별 임가수,산림보유 면적 규모별 임가수,,산림보유 면적 규모별 임가수,산림보유 면적 규모별 임가수,면적별,임가수
DT_1SF101_01,"임가수, 산림면적",,"임가수, 산림면적","임가수, 산림면적",,"임가수, 산림면적","임가수, 산림면적",산림면적별,"임가수, 산림면적"
DT_1SF102,전겸업별 임가수,,전겸업별 임가수,전겸업별 임가수,,전겸업별 임가수,전겸업별 임가수,전겸업별,임가수
DT_1SF103,임업경영형태별 임가수,,임업경영형태별 임가수,임업경영형태별 임가수,,임업경영형태별 임가수,임업경영형태별 임가수,임업경영형태별,임가수
DT_1SF105,가구원수별 임가수,,가구원수별 임가수,가구원수별 임가수,,가구원수별 임가수,가구원수별 임가수,가구원수별,"가구원수, 임가수"
DT_1SF105_01,"임가수, 가구원수",,"임가수, 가구원수","임가수, 가구원수",,"임가수, 가구원수","임가수, 가구원수",가구원 수별,"임가수, 가구원수"
DT_1SF106,세대구성별 임가수,,세대구성별 임가수,세대구성별 임가수,,세대구성별 임가수,세대구성별 임가수,세대구성별,임가수
DT_1SF108,경영주연령(5세계급)별/교육정도별 임가수,,경영주연령(5세계급)별/교육정도별 임가수,경영주연령(5세계급)별/교육정도별 임가수,,경영주연령(5세계급)별/교육정도별 임가수,경영주연령(5세계급)별/교육정도별 임가수,"경영주연령별, 교육정도별",임가수
DT_1SF202,경영주임업종사기간별 임가수,,경영주임업종사기간별 임가수,경영주임업종사기간별 임가수,,경영주임업종사기간별 임가수,경영주임업종사기간별 임가수,경영주임업종사기간별,임가수
DT_1SF205,임산물판매금액별 임가수,,임산물판매금액별 임가수,임산물판매금액별 임가수,,임산물판매금액별 임가수,임산물판매금액별 임가수,임산물판매금액별,임가수
DT_1SF301,"연령(각세)별/성별 임가인구,성비",,"연령(각세)별/성별 임가인구,성비","연령(각세)별/성별 임가인구,성비",,"연령(각세)별/성별 임가인구,성비","연령(각세)별/성별 임가인구,성비","연령별, 성별",임가인구
DT_1SF302,연령(5세계급)별/성별 임가인구,,연령(5세계급)별/성별 임가인구,연령(5세계급)별/성별 임가인구,,연령(5세계급)별/성별 임가인구,연령(5세계급)별/성별 임가인구,"연령별, 성별",임가인구
DT_1SF501,임산물재배품목별 임가수,,임산물재배품목별 임가수,임산물재배품목별 임가수,,임산물재배품목별 임가수,임산물재배품목별 임가수,임산물재배품목별,임가수
DT_1SF501_01,임산물재배품목별 재배면적,,임산물재배품목별 재배면적,임산물재배품목별 재배면적,,임산물재배품목별 재배면적,임산물재배품목별 재배면적,임산물재배품목별,재배면적
DT_1SL1001,성별/거처종류별 1인 가구수,,성별/거처종류별 1인 가구수,성별/거처종류별 1인 가구수,,성별/거처종류별 1인 가구수,성별/거처종류별 1인 가구수,"성별, 거처종류별",1인가구수
DT_1SL1002,성별/연령별/교육정도별 1인가구수,,성별/연령별/교육정도별 1인가구수,성별/연령별/교육정도별 1인가구수,,성별/연령별/교육정도별 1인가구수,성별/연령별/교육정도별 1인가구수,"성별, 연령별, 교육정도별",1인가구수
DT_1SL1003,성별/연령별/혼인상태별 1인가구수(15세이상),,성별/연령별/혼인상태별 1인가구수(15세이상),성별/연령별/혼인상태별 1인가구수(15세이상),15세이상,성별/연령별/혼인상태별 1인가구수,성별/연령별/혼인상태별 1인가구수,"성별, 연령별, 혼인상태별",1인가구수
DT_1SN1001,"인구, 가구수, 주택수",,"인구, 가구수, 주택수","인구, 가구수, 주택수",,"인구, 가구수, 주택수","인구, 가구수, 주택수",행정구역별,"인구, 가구수, 주택수"
DT_1SN1002,연령별 성별 인구,,연령별 성별 인구,연령별 성별 인구,,연령별 성별 인구,연령별 성별 인구,"연령별, 성별",인구
DT_1SN1003,성별/연령별/교육정도별 인구(6세이상),,성별/연령별/교육정도별 인구(6세이상),성별/연령별/교육정도별 인구(6세이상),6세이상,성별/연령별/교육정도별 인구,성별/연령별/교육정도별 인구,"성별, 연령별, 교육정도별",인구
DT_1SN1004,성별/연령별/혼인상태별 인구(15세이상),,성별/연령별/혼인상태별 인구(15세이상),성별/연령별/혼인상태별 인구(15세이상),15세이상,성별/연령별/혼인상태별 인구,성별/연령별/혼인상태별 인구,"성별, 연령별, 혼인상태별",인구
DT_1SN1005,성별/연령별/가구주와의 관계별 인구,,성별/연령별/가구주와의 관계별 인구,성별/연령별/가구주와의 관계별 인구,,성별/연령별/가구주와의 관계별 인구,성별/연령별/가구주와의 관계별 인구,"성별, 연령별, 가구주와의 관계별",인구
DT_1SN1006,가구주와의 관계별/성별/혼인상태별 인구,,가구주와의 관계별/성별/혼인상태별 인구,가구주와의 관계별/성별/혼인상태별 인구,,가구주와의 관계별/성별/혼인상태별 인구,가구주와의 관계별/성별/혼인상태별 인구,"가구주와의 관계별, 성별, 혼인상태별","가구주, 성별, 혼인상태별 인구"
DT_1SR101,총가구수별 행정리수,,총가구수별 행정리수,총가구수별 행정리수,,총가구수별 행정리수,총가구수별 행정리수,총가구수별,"행정리, 총가구수"
DT_1SR102,농가수별 행정리수,,농가수별 행정리수,농가수별 행정리수,,농가수별 행정리수,농가수별 행정리수,행정리별,"농가수, 행정리수"
DT_1SR103,임가수별 행정리수,,임가수별 행정리수,임가수별 행정리수,,임가수별 행정리수,임가수별 행정리수,임가수별,행정리
DT_1SU1001,주택의 종류별 주택수,,주택의 종류별 주택수,주택의 종류별 주택수,,주택의 종류별 주택수,주택의 종류별 주택수,종류별,주택수
DT_1SU1002,"거처종류별 거처수, 가구수, 가구원수",,"거처종류별 거처수, 가구수, 가구원수","거처종류별 거처수, 가구수, 가구원수",,"거처종류별 거처수, 가구수, 가구원수","거처종류별 거처수, 가구수, 가구원수",거처종류별,"거처수, 가구수, 가구원수"
DT_1SU1003,주택종류별/연면적별/거주인수별 주택수,,주택종류별/연면적별/거주인수별 주택수,주택종류별/연면적별/거주인수별 주택수,,주택종류별/연면적별/거주인수별 주택수,주택종류별/연면적별/거주인수별 주택수,"주택종류별, 연면적별, 거주인수별",주택수
DT_1SU1003_01,주택종류별/연면적별 평균 거주인수,,주택종류별/연면적별 평균 거주인수,주택종류별/연면적별 평균 거주인수,,주택종류별/연면적별 평균 거주인수,주택종류별/연면적별 평균 거주인수,"주택종류별, 연면적별",거주인수
DT_1SU1004,주택종류별/총방수별 주택수,,주택종류별/총방수별 주택수,주택종류별/총방수별 주택수,,주택종류별/총방수별 주택수,주택종류별/총방수별 주택수,"주택종류별, 총방수별",주택수
DT_1SU1005,주택종류별/연면적별/총방수별 주택수,,주택종류별/연면적별/총방수별 주택수,주택종류별/연면적별/총방수별 주택수,,주택종류별/연면적별/총방수별 주택수,주택종류별/연면적별/총방수별 주택수,"주택종류별, 연면적별, 총방수별",주택수
DT_1B08024,인구밀도(인구주택총조사기준) - 시도,,인구밀도(인구주택총조사기준) - 시도,인구밀도(인구주택총조사기준) - 시도,,인구밀도(인구주택총조사기준) - 시도,인구밀도(인구주택총조사기준) - 시도,행정구역별,인구
DT_1B90001,행정구역/가구규모/성별 통근·통학인구(12세이상),,행정구역/가구규모/성별 통근·통학인구(12세이상),행정구역/가구규모/성별 통근·통학인구(12세이상),12세이상,행정구역/가구규모/성별 통근·통학인구,행정구역/가구규모/성별 통근·통학인구,"행정구역별, 가구규모별, 성별","가구, 인구"
DT_1B90003,대도시/통근통학/성/이용교통수단별 통근·통학인구(12세이상),,대도시/통근통학/성/이용교통수단별 통근·통학인구(12세이상),대도시/통근통학/성/이용교통수단별 통근·통학인구(12세이상),12세이상,대도시/통근통학/성/이용교통수단별 통근·통학인구,대도시/통근통학/성/이용교통수단별 통근·통학인구,"이용교통수단별, 성, 대도시/통근통학",통근·통학인구
DT_1B90005,시도/소요시간/이용교통수단별 통근·통학인구(12세이상),,시도/소요시간/이용교통수단별 통근·통학인구(12세이상),시도/소요시간/이용교통수단별 통근·통학인구(12세이상),12세이상,시도/소요시간/이용교통수단별 통근·통학인구,시도/소요시간/이용교통수단별 통근·통학인구,"행정구역별, 소요시간별, 이용교통수단별",통근·통학인구
DT_1B90007,시도/점유형태/이용교통수단별 통근·통학인구(12세이상),,시도/점유형태/이용교통수단별 통근·통학인구(12세이상),시도/점유형태/이용교통수단별 통근·통학인구(12세이상),12세이상,시도/점유형태/이용교통수단별 통근·통학인구,시도/점유형태/이용교통수단별 통근·통학인구,"시도별, 점유형태별, 이용교통수단별",통근·통학인구
DT_1B90008,시도/성/직업/이용교통수단별 통근·통학인구(12세이상),,시도/성/직업/이용교통수단별 통근·통학인구(12세이상),시도/성/직업/이용교통수단별 통근·통학인구(12세이상),12세이상,시도/성/직업/이용교통수단별 통근·통학인구,시도/성/직업/이용교통수단별 통근·통학인구,"시도별, 성별, 직업별, 이용교통수단별",통근·통학인구
DT_1B90009,시도/성/산업/이용교통수단별 통근·통학인구(12세이상),,시도/성/산업/이용교통수단별 통근·통학인구(12세이상),시도/성/산업/이용교통수단별 통근·통학인구(12세이상),12세이상,시도/성/산업/이용교통수단별 통근·통학인구,시도/성/산업/이용교통수단별 통근·통학인구,"시도별, 성별, 산업별, 이용교통수단별",통근·통학인구
DT_1B9000A,시도/성/소요시간/학교별 통근·통학인구(12세이상),,시도/성/소요시간/학교별 통근·통학인구(12세이상),시도/성/소요시간/학교별 통근·통학인구(12세이상),12세이상,시도/성/소요시간/학교별 통근·통학인구,시도/성/소요시간/학교별 통근·통학인구,"행정구역별, 성별, 학교별",통근·통학인구
DT_1B9000D,"현거주지/성/목적지별 통근·통학인구(서울,인천,경기,12세이상)","경기, 서울, 인천","현거주지/성/목적지별 통근·통학인구(,,,12세이상)","현거주지/성/목적지별 통근·통학인구(,,,12세이상)",12세이상,"현거주지/성/목적지별 통근·통학인구(,,,)","현거주지/성/목적지별 통근·통학인구(,,,)","현 거주지별, 목적지별",통근·통학인구
DT_1B9000E,"현거주지/성/목적지별 통근·통학인구(부산,경남,12세이상)",,"현거주지/성/목적지별 통근·통학인구(부산,경남,12세이상)","현거주지/성/목적지별 통근·통학인구(부산,경남,12세이상)",12세이상,"현거주지/성/목적지별 통근·통학인구(부산,경남,)","현거주지/성/목적지별 통근·통학인구(부산,경남,)","현 거주지 별, 목적지 별",통근·통학인구
DT_1B9000F,"현거주지/성/목적지별 통근·통학인구(대구,경북,12세이상)","경북, 대구","현거주지/성/목적지별 통근·통학인구(,,12세이상)","현거주지/성/목적지별 통근·통학인구(,,12세이상)",12세이상,"현거주지/성/목적지별 통근·통학인구(,,)","현거주지/성/목적지별 통근·통학인구(,,)","현 거주지별, 목적지별",통근·통학인구
DT_1B9000G,"현거주지/성/목적지별 통근·통학인구(광주,전남,12세이상)","광주, 전남","현거주지/성/목적지별 통근·통학인구(,,12세이상)","현거주지/성/목적지별 통근·통학인구(,,12세이상)",12세이상,"현거주지/성/목적지별 통근·통학인구(,,)","현거주지/성/목적지별 통근·통학인구(,,)","현 거주지별, 목적지별",통근·통학인구
DT_1B9000H,"현거주지/성/목적지별 통근·통학인구(대전,충남,12세이상)","대전, 충남","현거주지/성/목적지별 통근·통학인구(,,12세이상)","현거주지/성/목적지별 통근·통학인구(,,12세이상)",12세이상,"현거주지/성/목적지별 통근·통학인구(,,)","현거주지/성/목적지별 통근·통학인구(,,)","현 거주지별, 목적지별",통근·통학인구
DT_1B9000I,"현거주지/성/목적지별 통근·통학인구(강원도,12세이상)",강원,"현거주지/성/목적지별 통근·통학인구(,12세이상)","현거주지/성/목적지별 통근·통학인구(,12세이상)",12세이상,현거주지/성/목적지별 통근·통학인구,현거주지/성/목적지별 통근·통학인구,"현 거주지별, 목적지별",통근·통학인구
DT_1B9000J,"현거주지/성/목적지별 통근·통학인구(충청북도,12세이상)",충북,"현거주지/성/목적지별 통근·통학인구(,12세이상)","현거주지/성/목적지별 통근·통학인구(,12세이상)",12세이상,현거주지/성/목적지별 통근·통학인구,현거주지/성/목적지별 통근·통학인구,"현 거주지별, 목적지별",통근·통학인구
DT_1B9000K,"현거주지/성/목적지별 통근·통학인구(전라북도,12세이상)",전북,"현거주지/성/목적지별 통근·통학인구(,12세이상)","현거주지/성/목적지별 통근·통학인구(,12세이상)",12세이상,현거주지/성/목적지별 통근·통학인구,현거주지/성/목적지별 통근·통학인구,"현 거주지별, 성별, 목적지별",통근·통학인구
DT_1B9000L,"현거주지/성/목적지별 통근·통학인구(제주도,12세이상)",제주,"현거주지/성/목적지별 통근·통학인구(,12세이상)","현거주지/성/목적지별 통근·통학인구(,12세이상)",12세이상,현거주지/성/목적지별 통근·통학인구,현거주지/성/목적지별 통근·통학인구,"현 거주지별, 목적지별",통근·통학인구
DT_1B90010,행정구역/성/학교/이용교통수단별 통근·통학인구(12세이상),,행정구역/성/학교/이용교통수단별 통근·통학인구(12세이상),행정구역/성/학교/이용교통수단별 통근·통학인구(12세이상),12세이상,행정구역/성/학교/이용교통수단별 통근·통학인구,행정구역/성/학교/이용교통수단별 통근·통학인구,"행정구역별, 성별, 학교별, 이용교통수단별",통근·통학인구
DT_1B90012,행정구역/성/상주(야간)및 주간인구(12세이상),,행정구역/성/상주(야간)및 주간인구(12세이상),행정구역/성/상주(야간)및 주간인구(12세이상),12세이상,행정구역/성/상주(야간)및 주간인구,행정구역/성/상주(야간)및 주간인구,"행정구역별, 성별, 시간대별","행정구역, 성, 상주(야간), 주간인구"
DT_1B90014,시도/성/연령/이용교통수단별 통근·통학인구,,시도/성/연령/이용교통수단별 통근·통학인구,시도/성/연령/이용교통수단별 통근·통학인구,,시도/성/연령/이용교통수단별 통근·통학인구,시도/성/연령/이용교통수단별 통근·통학인구,"시도별, 성별, 연령별, 이용교통수단별",통근·통학인구
DT_1BA0501,성/연령/혼인상태/경제활동상태별 인구(15세이상)-시도,,성/연령/혼인상태/경제활동상태별 인구(15세이상)-시도,성/연령/혼인상태/경제활동상태별 인구(15세이상)-시도,15세이상,성/연령/혼인상태/경제활동상태별 인구-시도,성/연령/혼인상태/경제활동상태별 인구-시도,"성별, 연령별, 혼인상태별, 경제활동상태별",인구
DT_1BA0502,성/교육정도/경제활동상태별 인구(15세이상)-시도,,성/교육정도/경제활동상태별 인구(15세이상)-시도,성/교육정도/경제활동상태별 인구(15세이상)-시도,15세이상,성/교육정도/경제활동상태별 인구-시도,성/교육정도/경제활동상태별 인구-시도,"성별, 교육정도별, 경제활동상태별",인구
DT_1BA0503,성/연령/산업별 취업자(15세이상)-시도,,성/연령/산업별 취업자(15세이상)-시도,성/연령/산업별 취업자(15세이상)-시도,15세이상,성/연령/산업별 취업자-시도,성/연령/산업별 취업자-시도,"성별, 연령별, 산업별, 행정구역별",취업자
DT_1BA0504,성/연령/직업별 취업자(15세이상)-시도,,성/연령/직업별 취업자(15세이상)-시도,성/연령/직업별 취업자(15세이상)-시도,15세이상,성/연령/직업별 취업자-시도,성/연령/직업별 취업자-시도,"성별, 연령별, 직업별, 시도별",취업자
DT_1BA0505,성/직업/산업별 취업자(15세이상)-시도,,성/직업/산업별 취업자(15세이상)-시도,성/직업/산업별 취업자(15세이상)-시도,15세이상,성/직업/산업별 취업자-시도,성/직업/산업별 취업자-시도,"성별, 직업별, 산업별, 시도별",취업자
DT_1BA0506,성/교육정도/산업별 취업자(15세이상)-시도,,성/교육정도/산업별 취업자(15세이상)-시도,성/교육정도/산업별 취업자(15세이상)-시도,15세이상,성/교육정도/산업별 취업자-시도,성/교육정도/산업별 취업자-시도,"성별, 교육정도별, 산업별, 시도별",취업자
DT_1BA0507,성/교육정도/직업별 취업자(15세이상)-시도,,성/교육정도/직업별 취업자(15세이상)-시도,성/교육정도/직업별 취업자(15세이상)-시도,15세이상,성/교육정도/직업별 취업자-시도,성/교육정도/직업별 취업자-시도,"성별, 교육정도별, 직업별, 시도별",취업자
DT_1BA0508,현거주지/근무지/산업별 취업자(15세이상)-시군구,,현거주지/근무지/산업별 취업자(15세이상)-시군구,현거주지/근무지/산업별 취업자(15세이상)-시군구,15세이상,현거주지/근무지/산업별 취업자-시군구,현거주지/근무지/산업별 취업자-시군구,"현 거주지 별, 근무지 별, 산업 별, 행정구역 별",취업자
DT_1BA0509,현거주지/근무지/직업별 취업자(15세이상)-시군구,,현거주지/근무지/직업별 취업자(15세이상)-시군구,현거주지/근무지/직업별 취업자(15세이상)-시군구,15세이상,현거주지/근무지/직업별 취업자-시군구,현거주지/근무지/직업별 취업자-시군구,"현 거주지 별, 근무지 별, 직업 별",취업자
DT_1BA0510,성/교육정도/종사상 지위별 취업자(15세이상)-시도,,성/교육정도/종사상 지위별 취업자(15세이상)-시도,성/교육정도/종사상 지위별 취업자(15세이상)-시도,15세이상,성/교육정도/종사상 지위별 취업자-시도,성/교육정도/종사상 지위별 취업자-시도,"성별, 교육정도별, 종사상지위별, 시도별",취업자
